,OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,SalesTeamID,CustomerID,StoreID,ProductID,Order Quantity,Discount Applied,Unit Cost,Unit Price,Revenue,Profit,Procured_to_Order,Order_to_Ship,Ship_to_Delivery,Procured_to_Delivery
2512,SO - 0002613,Distributor,WARE-XYS1001,2018-10-27,2019-03-23,2019-04-01,2019-04-08,22,20,48,14,3,0.2,1385.69,2566.1,6158.64,2001.57,147,9,7,163
2513,SO - 0002614,In-Store,WARE-PUJ1005,2018-10-27,2019-03-23,2019-04-03,2019-04-13,10,21,314,24,7,0.08,489.37,1112.2,7162.568,3736.98,147,11,10,168
2514,SO - 0002615,Online,WARE-PUJ1005,2018-10-27,2019-03-23,2019-04-07,2019-04-12,16,17,305,9,6,0.1,871.34,1025.1,5535.539999999999,307.5,147,15,5,167
2515,SO - 0002616,In-Store,WARE-PUJ1005,2019-02-04,2019-03-23,2019-04-15,2019-04-20,4,23,327,42,8,0.1,91.92,187.6,1350.72,615.36,47,23,5,75
2516,SO - 0002617,In-Store,WARE-NMK1003,2019-02-04,2019-03-23,2019-03-29,2019-04-08,8,34,163,23,5,0.2,4698.38,6264.5,25058.0,1566.1,47,6,10,63
2517,SO - 0002618,In-Store,WARE-NMK1003,2018-10-27,2019-03-23,2019-03-30,2019-03-31,2,43,194,39,5,0.05,125.42,174.2,827.4499999999999,200.35,147,7,1,155
2518,SO - 0002619,Wholesale,WARE-NMK1003,2018-10-27,2019-03-23,2019-04-14,2019-04-17,26,24,89,40,6,0.08,2180.65,3825.7,21117.863999999998,8033.96,147,22,3,172
2519,SO - 0002620,Distributor,WARE-UHY1004,2019-02-04,2019-03-23,2019-04-10,2019-04-18,24,2,234,17,5,0.15,738.07,1025.1,4356.674999999999,666.32,47,18,8,73
2520,SO - 0002621,Distributor,WARE-NMK1003,2018-10-27,2019-03-24,2019-04-19,2019-04-20,24,12,193,1,3,0.4,665.18,978.2,1760.7599999999998,-234.78,148,26,1,175
2521,SO - 0002622,In-Store,WARE-UHY1004,2018-10-27,2019-03-24,2019-04-01,2019-04-02,7,19,213,29,8,0.1,2766.3,5319.8,38302.560000000005,16172.16,148,8,1,157
2522,SO - 0002623,Wholesale,WARE-NMK1003,2018-10-27,2019-03-24,2019-03-29,2019-04-02,26,20,159,30,8,0.15,1177.66,1869.3,12711.24,3289.96,148,5,4,157
2523,SO - 0002624,Online,WARE-NMK1003,2018-10-27,2019-03-24,2019-04-20,2019-04-30,15,50,96,37,5,0.05,911.74,1085.4,5155.650000000001,596.95,148,27,10,185
2524,SO - 0002625,In-Store,WARE-NMK1003,2019-02-04,2019-03-24,2019-04-09,2019-04-19,7,22,110,25,4,0.05,503.84,1072.0,4073.6,2058.24,48,16,10,74
2525,SO - 0002626,In-Store,WARE-UHY1004,2019-02-04,2019-03-24,2019-03-29,2019-03-30,5,42,208,46,2,0.2,216.88,261.3,418.08000000000004,-15.68,48,5,1,54
2526,SO - 0002627,In-Store,WARE-PUJ1005,2018-10-27,2019-03-24,2019-04-18,2019-04-26,3,8,299,47,1,0.15,3091.11,3912.8,3325.88,234.77,148,25,8,181
2527,SO - 0002628,Online,WARE-NMK1003,2019-02-04,2019-03-24,2019-04-16,2019-04-18,13,25,132,23,6,0.15,1176.25,2673.3,13633.830000000002,6576.33,48,23,2,73
2528,SO - 0002629,In-Store,WARE-NMK1003,2018-10-27,2019-03-24,2019-03-30,2019-04-02,8,41,202,16,2,0.05,553.96,1045.2,1985.8799999999999,877.96,148,6,3,157
2529,SO - 0002630,Wholesale,WARE-NMK1003,2019-02-04,2019-03-24,2019-04-01,2019-04-05,28,16,159,5,3,0.4,1061.28,2412.0,4341.6,1157.76,48,8,4,60
2530,SO - 0002631,In-Store,WARE-UHY1004,2018-10-27,2019-03-25,2019-04-01,2019-04-05,5,4,221,14,1,0.05,417.54,1018.4,967.4799999999999,549.94,149,7,4,160
2531,SO - 0002632,Online,WARE-XYS1001,2018-10-27,2019-03-25,2019-04-02,2019-04-07,18,46,29,45,5,0.2,1896.64,2257.9,9031.6,-451.6,149,8,5,162
2532,SO - 0002633,Online,WARE-NMK1003,2018-10-27,2019-03-25,2019-04-18,2019-04-28,20,15,143,13,7,0.1,2297.16,2907.8,18319.140000000003,2239.02,149,24,10,183
2533,SO - 0002634,Wholesale,WARE-NBV1002,2018-10-27,2019-03-25,2019-03-29,2019-03-31,26,46,61,22,6,0.08,585.31,1125.6,6213.312,2701.45,149,4,2,155
2534,SO - 0002635,In-Store,WARE-MKL1006,2018-10-27,2019-03-25,2019-03-28,2019-04-06,3,21,334,38,2,0.08,525.28,1072.0,1972.48,921.92,149,3,9,161
2535,SO - 0002636,In-Store,WARE-MKL1006,2018-10-27,2019-03-25,2019-04-06,2019-04-15,10,38,330,37,5,0.1,1139.67,1809.0,8140.500000000001,2442.15,149,12,9,170
2536,SO - 0002637,Online,WARE-MKL1006,2019-02-04,2019-03-25,2019-04-13,2019-04-15,19,22,349,43,3,0.1,533.05,1025.1,2767.7699999999995,1168.62,49,19,2,70
2537,SO - 0002638,In-Store,WARE-UHY1004,2018-10-27,2019-03-26,2019-04-14,2019-04-23,3,38,246,24,3,0.3,1976.5,3953.0,8301.3,2371.8,150,19,9,178
2538,SO - 0002639,In-Store,WARE-XYS1001,2018-10-27,2019-03-26,2019-04-16,2019-04-21,12,19,26,6,8,0.08,2016.03,2371.8,17456.448,1328.21,150,21,5,176
2539,SO - 0002640,Distributor,WARE-UHY1004,2018-10-27,2019-03-26,2019-04-20,2019-04-30,24,39,233,40,8,0.05,1462.21,2358.4,17923.84,6226.16,150,25,10,185
2540,SO - 0002641,In-Store,WARE-NMK1003,2019-02-04,2019-03-26,2019-04-12,2019-04-21,3,2,127,42,2,0.1,1620.06,2613.0,4703.400000000001,1463.28,50,17,9,76
2541,SO - 0002642,Online,WARE-MKL1006,2019-02-04,2019-03-26,2019-03-28,2019-04-03,12,13,341,17,3,0.1,452.25,904.5,2442.15,1085.4,50,2,6,58
2542,SO - 0002643,In-Store,WARE-NBV1002,2018-10-27,2019-03-26,2019-04-23,2019-04-24,1,12,78,26,3,0.15,584.31,1025.1,2614.0049999999997,861.07,150,28,1,179
2543,SO - 0002644,Online,WARE-UHY1004,2018-10-27,2019-03-26,2019-03-31,2019-04-07,16,18,260,38,2,0.1,2504.13,3852.5,6934.5,1926.24,150,5,7,162
2544,SO - 0002645,Online,WARE-PUJ1005,2018-10-27,2019-03-26,2019-04-08,2019-04-18,13,48,319,25,3,0.15,95.68,227.8,580.89,293.85,150,13,10,173
2545,SO - 0002646,Wholesale,WARE-NMK1003,2019-02-04,2019-03-26,2019-03-29,2019-04-01,27,32,138,3,4,0.05,1618.05,2345.0,8911.0,2438.8,50,3,3,56
2546,SO - 0002647,Wholesale,WARE-XYS1001,2019-02-04,2019-03-26,2019-03-29,2019-04-03,27,44,34,42,5,0.1,787.92,1969.8,8864.1,4924.5,50,3,5,58
2547,SO - 0002648,Online,WARE-UHY1004,2018-10-27,2019-03-27,2019-04-01,2019-04-02,13,11,245,38,5,0.05,1293.1,2586.2,12284.449999999999,5818.95,151,5,1,157
2548,SO - 0002649,Distributor,WARE-NMK1003,2019-02-04,2019-03-27,2019-04-16,2019-04-21,23,10,162,38,7,0.05,3736.59,5748.6,38228.19,12072.06,51,20,5,76
2549,SO - 0002650,Wholesale,WARE-NMK1003,2019-02-04,2019-03-27,2019-04-14,2019-04-16,28,36,199,35,3,0.08,170.25,221.1,610.236,99.49,51,18,2,71
2550,SO - 0002651,Online,WARE-NBV1002,2019-02-04,2019-03-27,2019-04-14,2019-04-18,18,24,62,23,1,0.08,2835.98,3832.4,3525.8080000000004,689.83,51,18,4,73
2551,SO - 0002652,Online,WARE-MKL1006,2019-02-04,2019-03-27,2019-04-23,2019-04-28,13,11,347,15,8,0.3,4167.74,6411.9,35906.63999999999,2564.72,51,27,5,83
2552,SO - 0002653,In-Store,WARE-NMK1003,2019-02-04,2019-03-28,2019-03-30,2019-04-06,5,12,122,22,3,0.05,515.9,1031.8,2940.6299999999997,1392.93,52,2,7,61
2553,SO - 0002654,In-Store,WARE-MKL1006,2019-02-04,2019-03-29,2019-04-21,2019-05-01,8,45,351,14,7,0.1,1603.98,3819.0,24059.7,12831.84,53,23,10,86
2554,SO - 0002655,In-Store,WARE-MKL1006,2019-02-04,2019-03-29,2019-04-11,2019-04-20,2,19,343,23,8,0.05,985.3,1728.6,13137.359999999999,5254.96,53,13,9,75
2555,SO - 0002656,In-Store,WARE-PUJ1005,2018-10-27,2019-03-29,2019-04-03,2019-04-13,11,25,323,26,4,0.1,1649.81,2291.4,8249.04,1649.8,153,5,10,168
2556,SO - 0002657,Distributor,WARE-XYS1001,2018-10-27,2019-03-29,2019-04-03,2019-04-11,22,30,33,17,5,0.08,3205.28,4006.6,18430.36,2403.96,153,5,8,166
2557,SO - 0002658,Online,WARE-NMK1003,2018-10-27,2019-03-29,2019-04-09,2019-04-15,13,20,98,9,3,0.05,1736.37,3946.3,11246.955,6037.84,153,11,6,170
2558,SO - 0002659,Distributor,WARE-NMK1003,2019-02-04,2019-03-29,2019-04-09,2019-04-15,21,20,181,16,1,0.05,4127.2,5896.0,5601.2,1474.0,53,11,6,70
2559,SO - 0002660,In-Store,WARE-MKL1006,2019-02-04,2019-03-30,2019-04-24,2019-05-01,1,50,357,32,3,0.08,2013.08,2425.4,6694.104000000001,654.86,54,25,7,86
2560,SO - 0002661,In-Store,WARE-PUJ1005,2019-02-04,2019-03-30,2019-04-23,2019-04-25,3,33,279,7,6,0.08,962.39,1145.7,6324.264000000001,549.92,54,24,2,80
2561,SO - 0002662,Distributor,WARE-UHY1004,2018-10-27,2019-03-30,2019-04-04,2019-04-13,21,44,240,24,7,0.08,2234.85,3604.6,23213.624,7569.67,154,5,9,168
2562,SO - 0002663,In-Store,WARE-NMK1003,2019-02-04,2019-03-30,2019-04-02,2019-04-08,8,13,141,27,2,0.4,701.62,1031.8,1238.1599999999999,-165.08,54,3,6,63
2563,SO - 0002664,Online,WARE-NMK1003,2018-10-27,2019-03-30,2019-04-03,2019-04-10,14,46,152,34,5,0.15,2106.48,2633.1,11190.675,658.27,154,4,7,165
2564,SO - 0002665,Distributor,WARE-NMK1003,2019-02-04,2019-03-30,2019-04-05,2019-04-12,21,39,125,8,8,0.1,1300.07,2954.7,21273.84,10873.28,54,6,7,67
2565,SO - 0002666,Distributor,WARE-NMK1003,2019-02-04,2019-03-30,2019-04-20,2019-04-30,25,4,163,15,7,0.15,715.29,1051.9,6258.805,1251.78,54,21,10,85
2566,SO - 0002667,Distributor,WARE-UHY1004,2018-10-27,2019-03-30,2019-04-13,2019-04-18,21,9,244,37,7,0.15,726.01,864.3,5142.585,60.52,154,14,5,173
2567,SO - 0002668,Online,WARE-PUJ1005,2018-10-27,2019-03-31,2019-04-22,2019-05-01,20,37,311,18,1,0.05,1557.35,1996.6,1896.7699999999998,339.42,155,22,9,186
2568,SO - 0002669,Distributor,WARE-NMK1003,2018-10-27,2019-03-31,2019-04-20,2019-04-22,21,30,172,27,4,0.08,2529.92,3953.0,14547.04,4427.36,155,20,2,177
2569,SO - 0002670,In-Store,WARE-XYS1001,2018-10-27,2019-03-31,2019-04-17,2019-04-18,11,46,12,11,8,0.08,2811.39,3959.7,29143.392,6652.27,155,17,1,173
2570,SO - 0002671,Wholesale,WARE-NBV1002,2019-02-04,2019-03-31,2019-04-04,2019-04-06,26,2,87,44,3,0.1,194.64,234.5,633.1500000000001,49.23,55,4,2,61
2571,SO - 0002672,In-Store,WARE-NMK1003,2018-10-27,2019-03-31,2019-04-15,2019-04-17,7,17,138,15,6,0.05,1503.48,2211.0,12602.699999999999,3581.82,155,15,2,172
2572,SO - 0002673,In-Store,WARE-NMK1003,2018-10-27,2019-03-31,2019-04-05,2019-04-15,2,30,143,33,8,0.08,562.8,1172.5,8629.6,4127.2,155,5,10,170
2573,SO - 0002674,Wholesale,WARE-MKL1006,2018-10-27,2019-03-31,2019-04-07,2019-04-13,27,37,364,13,5,0.08,91.12,227.8,1047.88,592.28,155,7,6,168
2574,SO - 0002675,In-Store,WARE-NMK1003,2018-10-27,2019-04-01,2019-04-10,2019-04-15,2,18,157,43,3,0.1,1023.49,1795.6,4848.12,1777.65,156,9,5,170
2575,SO - 0002676,Online,WARE-PUJ1005,2018-10-27,2019-04-01,2019-04-18,2019-04-27,15,17,307,27,1,0.08,1134.51,1922.9,1769.0680000000002,634.56,156,17,9,182
2576,SO - 0002677,In-Store,WARE-XYS1001,2018-10-27,2019-04-01,2019-04-29,2019-05-05,9,49,57,36,6,0.08,1878.14,2572.8,14201.856,2933.02,156,28,6,190
2577,SO - 0002678,In-Store,WARE-NMK1003,2018-10-27,2019-04-01,2019-04-26,2019-05-01,5,39,180,39,3,0.4,581.56,830.8,1495.4399999999998,-249.24,156,25,5,186
2578,SO - 0002679,Online,WARE-PUJ1005,2019-02-04,2019-04-01,2019-04-24,2019-04-28,20,46,297,7,3,0.1,711.94,924.6,2496.42,360.6,56,23,4,83
2579,SO - 0002680,Wholesale,WARE-NMK1003,2018-10-27,2019-04-01,2019-04-29,2019-05-01,28,38,117,12,7,0.05,2369.79,5266.2,35020.229999999996,18431.7,156,28,2,186
2580,SO - 0002681,Wholesale,WARE-XYS1001,2018-10-27,2019-04-01,2019-04-06,2019-04-16,25,33,27,33,4,0.2,3197.58,3852.5,12328.0,-462.32,156,5,10,171
2581,SO - 0002682,Online,WARE-MKL1006,2019-02-04,2019-04-01,2019-04-20,2019-04-25,14,3,333,8,1,0.05,513.76,951.4,903.8299999999999,390.07,56,19,5,80
2582,SO - 0002683,Distributor,WARE-NMK1003,2018-10-27,2019-04-01,2019-04-17,2019-04-26,22,18,107,38,4,0.05,1311.53,2914.5,11075.1,5828.98,156,16,9,181
2583,SO - 0002684,Distributor,WARE-MKL1006,2019-02-04,2019-04-01,2019-04-18,2019-04-23,24,48,336,26,4,0.2,1620.53,2418.7,7739.84,1257.72,56,17,5,78
2584,SO - 0002685,In-Store,WARE-NMK1003,2018-10-27,2019-04-02,2019-04-16,2019-04-23,5,36,152,17,2,0.15,1523.58,2539.3,4316.81,1269.65,157,14,7,178
2585,SO - 0002686,In-Store,WARE-PUJ1005,2018-10-27,2019-04-02,2019-04-15,2019-04-17,12,10,275,41,1,0.08,1148.11,2251.2,2071.104,922.99,157,13,2,172
2586,SO - 0002687,In-Store,WARE-NMK1003,2018-10-27,2019-04-02,2019-04-25,2019-04-29,4,10,159,43,3,0.1,2780.43,5246.1,14164.470000000001,5823.18,157,23,4,184
2587,SO - 0002688,Distributor,WARE-PUJ1005,2018-10-27,2019-04-02,2019-04-23,2019-04-27,21,36,276,40,5,0.3,591.74,924.6,3236.1000000000004,277.4,157,21,4,182
2588,SO - 0002689,Wholesale,WARE-NMK1003,2019-02-04,2019-04-02,2019-04-07,2019-04-14,27,42,134,39,8,0.4,650.03,1031.8,4952.639999999999,-247.6,57,5,7,69
2589,SO - 0002690,Wholesale,WARE-PUJ1005,2019-02-04,2019-04-02,2019-04-25,2019-04-28,27,46,281,33,3,0.1,1317.69,1855.9,5010.93,1057.86,57,23,3,83
2590,SO - 0002691,In-Store,WARE-XYS1001,2019-02-04,2019-04-02,2019-04-05,2019-04-07,1,1,12,46,7,0.15,588.13,1031.8,6139.21,2022.3,57,3,2,62
2591,SO - 0002692,Distributor,WARE-NMK1003,2019-02-04,2019-04-02,2019-04-11,2019-04-17,25,32,91,11,4,0.15,724.14,1293.1,4396.54,1499.98,57,9,6,72
2592,SO - 0002693,In-Store,WARE-NBV1002,2018-10-27,2019-04-03,2019-04-10,2019-04-15,12,13,83,6,8,0.1,508.87,1038.5,7477.2,3406.24,158,7,5,170
2593,SO - 0002694,In-Store,WARE-NMK1003,2018-10-27,2019-04-03,2019-04-06,2019-04-10,9,18,132,33,1,0.08,1037.16,1728.6,1590.312,553.15,158,3,4,165
2594,SO - 0002695,In-Store,WARE-MKL1006,2019-02-04,2019-04-03,2019-04-09,2019-04-15,3,43,350,32,3,0.1,173.53,234.5,633.1500000000001,112.56,58,6,6,70
2595,SO - 0002696,In-Store,WARE-UHY1004,2018-10-27,2019-04-03,2019-04-19,2019-04-24,12,41,234,11,7,0.2,2253.21,3953.0,22136.8,6364.33,158,16,5,179
2596,SO - 0002697,Distributor,WARE-PUJ1005,2019-02-04,2019-04-03,2019-04-09,2019-04-16,25,38,322,1,2,0.08,553.96,710.2,1306.768,198.85,58,6,7,71
2597,SO - 0002698,Wholesale,WARE-NBV1002,2019-02-04,2019-04-04,2019-04-08,2019-04-13,26,48,80,24,8,0.1,1286.33,1762.1,12687.119999999999,2396.48,59,4,5,68
2598,SO - 0002699,Online,WARE-NBV1002,2018-10-27,2019-04-04,2019-04-12,2019-04-21,14,2,72,44,7,0.1,1335.24,1829.1,11523.33,2176.65,159,8,9,176
2599,SO - 0002700,Wholesale,WARE-PUJ1005,2019-02-04,2019-04-04,2019-04-18,2019-04-27,27,36,263,33,7,0.08,1289.75,2345.0,15101.800000000001,6073.55,59,14,9,82
2600,SO - 0002701,In-Store,WARE-NMK1003,2018-10-27,2019-04-04,2019-04-23,2019-04-27,9,3,172,14,4,0.1,3683.39,5755.3,20719.08,5985.52,159,19,4,182
2601,SO - 0002702,Online,WARE-NBV1002,2018-10-27,2019-04-04,2019-05-01,2019-05-06,14,20,74,45,1,0.05,491.45,1092.1,1037.495,546.04,159,27,5,191
2602,SO - 0002703,In-Store,WARE-NBV1002,2019-02-04,2019-04-04,2019-04-14,2019-04-19,7,50,85,5,5,0.08,1427.1,2854.2,13129.32,5993.82,59,10,5,74
2603,SO - 0002704,Online,WARE-PUJ1005,2019-02-04,2019-04-04,2019-04-11,2019-04-21,14,14,326,2,1,0.05,423.04,1031.8,980.2099999999999,557.17,59,7,10,76
2604,SO - 0002705,Distributor,WARE-NMK1003,2019-02-04,2019-04-04,2019-05-01,2019-05-09,21,17,137,1,1,0.08,544.98,1112.2,1023.224,478.24,59,27,8,94
2605,SO - 0002706,Online,WARE-NMK1003,2018-10-27,2019-04-04,2019-04-15,2019-04-20,18,47,181,38,2,0.15,1604.72,3731.9,6344.23,3134.79,159,11,5,175
2606,SO - 0002707,Wholesale,WARE-UHY1004,2019-02-04,2019-04-04,2019-04-27,2019-05-06,26,28,214,27,7,0.05,1955.33,2572.8,17109.12,3421.81,59,23,9,91
2607,SO - 0002708,In-Store,WARE-NMK1003,2019-02-04,2019-04-04,2019-04-09,2019-04-11,8,18,146,31,8,0.08,143.72,261.3,1923.1680000000001,773.41,59,5,2,66
2608,SO - 0002709,Wholesale,WARE-NMK1003,2018-10-27,2019-04-04,2019-04-20,2019-04-28,26,4,147,13,3,0.05,152.63,227.8,649.23,191.34,159,16,8,183
2609,SO - 0002710,Online,WARE-MKL1006,2018-10-27,2019-04-04,2019-04-12,2019-04-13,13,44,361,47,5,0.3,1110.59,1983.2,6941.2,1388.25,159,8,1,168
2610,SO - 0002711,Online,WARE-UHY1004,2018-10-27,2019-04-04,2019-04-21,2019-05-01,16,17,237,23,1,0.05,219.76,268.0,254.6,34.84,159,17,10,186
2611,SO - 0002712,Online,WARE-PUJ1005,2019-02-04,2019-04-04,2019-04-08,2019-04-11,13,18,320,33,2,0.05,2123.77,3932.9,7472.51,3224.97,59,4,3,66
2612,SO - 0002713,Online,WARE-NMK1003,2019-02-04,2019-04-04,2019-04-13,2019-04-21,16,11,90,45,8,0.08,1672.72,2291.4,16864.704,3482.94,59,9,8,76
2613,SO - 0002714,Online,WARE-MKL1006,2019-02-04,2019-04-04,2019-04-13,2019-04-16,14,18,333,38,7,0.08,5019.98,6197.5,39911.9,4772.04,59,9,3,71
2614,SO - 0002715,Online,WARE-PUJ1005,2019-02-04,2019-04-04,2019-05-01,2019-05-05,20,27,282,38,4,0.1,2495.42,3839.1,13820.76,3839.08,59,27,4,90
2615,SO - 0002716,In-Store,WARE-XYS1001,2018-10-27,2019-04-05,2019-04-07,2019-04-12,8,5,26,44,1,0.3,793.95,1058.6,741.0199999999999,-52.93,160,2,5,167
2616,SO - 0002717,Online,WARE-NBV1002,2019-02-04,2019-04-05,2019-04-17,2019-04-18,12,17,66,47,8,0.08,579.28,877.7,6459.872,1825.63,60,12,1,73
2617,SO - 0002718,In-Store,WARE-PUJ1005,2019-02-04,2019-04-05,2019-04-17,2019-04-19,2,18,271,23,8,0.4,5171.06,6083.6,29201.280000000002,-12167.2,60,12,2,74
2618,SO - 0002719,Wholesale,WARE-UHY1004,2018-10-27,2019-04-05,2019-04-14,2019-04-19,25,39,215,20,1,0.2,3024.65,3979.8,3183.84,159.19,160,9,5,174
2619,SO - 0002720,In-Store,WARE-MKL1006,2019-02-04,2019-04-05,2019-04-25,2019-04-26,8,47,334,4,5,0.1,3163.94,3906.1,17577.449999999997,1757.75,60,20,1,81
2620,SO - 0002721,Distributor,WARE-XYS1001,2018-10-27,2019-04-05,2019-04-15,2019-04-24,25,17,11,35,6,0.08,4986.01,6311.4,34838.928,4922.87,160,10,9,179
2621,SO - 0002722,Online,WARE-NMK1003,2018-10-27,2019-04-05,2019-04-14,2019-04-22,15,47,125,9,8,0.1,1493.23,2619.7,18861.84,6916.0,160,9,8,177
2622,SO - 0002723,In-Store,WARE-UHY1004,2019-02-04,2019-04-05,2019-04-29,2019-05-08,8,20,217,44,6,0.08,1396.28,3490.7,19268.664,10890.98,60,24,9,93
2623,SO - 0002724,In-Store,WARE-PUJ1005,2018-10-27,2019-04-06,2019-04-14,2019-04-22,4,12,266,3,1,0.05,117.25,234.5,222.77499999999998,105.52,161,8,8,177
2624,SO - 0002725,Online,WARE-NMK1003,2019-02-04,2019-04-06,2019-04-16,2019-04-22,20,15,130,24,8,0.3,585.31,1125.6,6303.359999999999,1620.88,61,10,6,77
2625,SO - 0002726,In-Store,WARE-NMK1003,2019-02-04,2019-04-06,2019-04-11,2019-04-17,4,41,123,41,3,0.1,1211.23,2633.1,7109.37,3475.68,61,5,6,72
2626,SO - 0002727,Online,WARE-MKL1006,2018-10-27,2019-04-06,2019-04-19,2019-04-22,12,42,355,7,5,0.08,854.25,1005.0,4623.0,351.75,161,13,3,177
2627,SO - 0002728,In-Store,WARE-PUJ1005,2018-10-27,2019-04-06,2019-05-03,2019-05-06,2,47,286,44,8,0.05,878.64,1112.2,8452.72,1423.6,161,27,3,191
2628,SO - 0002729,In-Store,WARE-MKL1006,2018-10-27,2019-04-06,2019-04-24,2019-05-04,3,21,333,29,8,0.05,1995.46,2525.9,19196.84,3233.16,161,18,10,189
2629,SO - 0002730,Distributor,WARE-PUJ1005,2018-10-27,2019-04-06,2019-04-24,2019-05-02,25,4,279,34,7,0.05,91.92,187.6,1247.54,604.1,161,18,8,187
2630,SO - 0002731,Online,WARE-UHY1004,2019-02-04,2019-04-06,2019-04-30,2019-05-05,18,20,241,13,7,0.08,1317.76,1996.6,12858.104000000001,3633.78,61,24,5,90
2631,SO - 0002732,In-Store,WARE-XYS1001,2019-02-04,2019-04-06,2019-04-20,2019-04-30,9,23,16,30,5,0.4,2062.26,2546.0,7638.0,-2673.3,61,14,10,85
2632,SO - 0002733,Wholesale,WARE-NMK1003,2018-10-27,2019-04-06,2019-04-10,2019-04-15,25,25,130,19,2,0.08,754.15,1125.6,2071.104,562.8,161,4,5,170
2633,SO - 0002734,Distributor,WARE-MKL1006,2018-10-27,2019-04-06,2019-04-27,2019-05-03,23,11,352,37,8,0.15,1828.3,2539.3,17267.24,2640.84,161,21,6,188
2634,SO - 0002735,In-Store,WARE-UHY1004,2018-10-27,2019-04-07,2019-04-27,2019-04-29,4,8,260,6,7,0.15,1275.01,2318.2,13793.289999999999,4868.22,162,20,2,184
2635,SO - 0002736,In-Store,WARE-NBV1002,2018-10-27,2019-04-07,2019-04-30,2019-05-05,7,43,74,18,6,0.2,1919.95,3999.9,19199.52,7679.82,162,23,5,190
2636,SO - 0002737,In-Store,WARE-NBV1002,2019-02-04,2019-04-07,2019-05-03,2019-05-10,4,20,73,32,8,0.05,678.04,1232.8,9369.279999999999,3944.96,62,26,7,95
2637,SO - 0002738,In-Store,WARE-PUJ1005,2019-02-04,2019-04-07,2019-05-01,2019-05-11,11,20,262,31,7,0.05,371.65,864.3,5747.594999999999,3146.04,62,24,10,96
2638,SO - 0002739,Distributor,WARE-PUJ1005,2019-02-04,2019-04-07,2019-04-15,2019-04-16,24,11,306,27,3,0.3,2316.12,3356.7,7049.069999999999,100.71,62,8,1,71
2639,SO - 0002740,In-Store,WARE-MKL1006,2019-02-04,2019-04-07,2019-04-16,2019-04-21,2,11,337,45,7,0.08,1879.95,3999.9,25759.356000000003,12599.71,62,9,5,76
2640,SO - 0002741,Distributor,WARE-XYS1001,2019-02-04,2019-04-07,2019-04-25,2019-05-02,23,48,3,17,2,0.15,1473.67,1775.5,3018.35,71.01,62,18,7,87
2641,SO - 0002742,In-Store,WARE-UHY1004,2019-02-04,2019-04-07,2019-04-17,2019-04-21,5,48,233,33,4,0.15,784.17,1018.4,3462.56,325.88,62,10,4,76
2642,SO - 0002743,In-Store,WARE-NMK1003,2018-10-27,2019-04-07,2019-04-25,2019-05-03,9,4,92,22,1,0.05,3142.23,3879.3,3685.335,543.1,162,18,8,188
2643,SO - 0002744,Online,WARE-NMK1003,2018-10-27,2019-04-08,2019-04-23,2019-04-26,12,15,132,23,3,0.05,1349.31,2753.7,7848.045,3800.12,163,15,3,181
2644,SO - 0002745,Distributor,WARE-PUJ1005,2019-02-04,2019-04-08,2019-04-19,2019-04-24,24,1,316,16,5,0.1,780.15,1098.8,4944.599999999999,1043.85,63,11,5,79
2645,SO - 0002746,Wholesale,WARE-PUJ1005,2019-02-04,2019-04-08,2019-04-26,2019-05-01,26,9,300,12,1,0.05,82.08,167.5,159.125,77.04,63,18,5,86
2646,SO - 0002747,Online,WARE-PUJ1005,2018-10-27,2019-04-08,2019-05-01,2019-05-09,18,21,277,24,8,0.1,438.98,1045.2,7525.4400000000005,4013.6,163,23,8,194
2647,SO - 0002748,Distributor,WARE-MKL1006,2018-10-27,2019-04-08,2019-04-29,2019-05-04,24,19,348,20,7,0.08,146.33,174.2,1121.848,97.54,163,21,5,189
2648,SO - 0002749,Online,WARE-XYS1001,2018-10-27,2019-04-08,2019-04-25,2019-05-03,13,37,14,31,5,0.05,879.04,1098.8,5219.299999999999,824.1,163,17,8,188
2649,SO - 0002750,Online,WARE-UHY1004,2018-10-27,2019-04-08,2019-05-05,2019-05-13,18,18,261,16,5,0.08,1316.35,2231.1,10263.060000000001,3681.31,163,27,8,198
2650,SO - 0002751,In-Store,WARE-XYS1001,2018-10-27,2019-04-08,2019-04-24,2019-04-29,4,1,19,28,4,0.05,547.93,944.7,3589.86,1398.14,163,16,5,184
2651,SO - 0002752,Online,WARE-NMK1003,2019-02-04,2019-04-08,2019-04-26,2019-05-02,19,22,142,31,1,0.08,481.8,1025.1,943.092,461.29,63,18,6,87
2652,SO - 0002753,Online,WARE-MKL1006,2018-10-27,2019-04-09,2019-04-20,2019-04-27,15,13,364,40,4,0.1,2836.51,3939.6,14182.56,2836.52,164,11,7,182
2653,SO - 0002754,In-Store,WARE-NMK1003,2019-02-04,2019-04-09,2019-05-03,2019-05-13,4,49,100,15,1,0.4,5033.64,6371.7,3823.0199999999995,-1210.62,64,24,10,98
2654,SO - 0002755,Distributor,WARE-NMK1003,2018-10-27,2019-04-09,2019-05-01,2019-05-10,21,48,119,12,5,0.05,606.02,904.5,4296.375,1266.28,164,22,9,195
2655,SO - 0002756,Wholesale,WARE-MKL1006,2019-02-04,2019-04-09,2019-04-22,2019-04-29,28,28,340,4,2,0.05,3942.15,6358.3,12080.77,4196.47,64,13,7,84
